0,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,31,UTTAR PRADESH,3109,BIJNOR,139821,712124.3333,1,0,0,45,1018,19649,3,1,111853,0,1024,0,21.36373,3,3,178847,260714,0,266566,369951,19694,21.36373,3,12,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3110,MORADABAD,77493,822993.21,1,0,0,89,590,15382,3,1,30747,0,110,0,24.6897963,3,3,107008,146742,0,190379,263028,15471,24.6897963,0,18,99.88,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3112,SAHARANPUR,61955,819675.6433,1,0,0,101,727,13518,3,1,65795,0,276,0,24.5902693,2,3,84928,126905,0,163599,226151,13619,24.5902693,2,22,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3114,MUZAFFARNAGAR,23951,0,0,0,0,44,496,5118,0,0,10995,0,74,0,0.01896,0,0,31568,39851,0,78820,94252,5162,0.01896,0,7,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3119,MATHURA,62463,0,0,0,0,6,478,12537,0,0,36046,0,231,0,6.9341276,0,0,88367,118904,0,141370,188531,12543,6.9341276,0,13,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3125,BAREILLY,180182,260708.2133,1,0,0,51,1074,24194,6,0,53014,0,157,0,15.6424928,6,6,159605,234039,0,277014,380605,24245,15.6424928,1,27,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3126,PILIBHIT,96788,0,0,0,0,77,648,16643,0,0,38742,0,571,0,16.1040211,0,0,136893,213876,0,243029,356713,16720,16.1040211,0,18,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3139,JHANSI,287805,0,0,0,0,6,411,16472,0,0,54758,0,1320,0,31.8947539,0,0,102836,164374,0,188338,291883,16478,31.8947539,0,38,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3141,HAMIRPUR,360562,0,0,0,0,0,317,14128,0,0,40326,0,72,0,3.12273,0,0,112646,181902,0,176057,282362,14128,3.12273,0,40,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3144,PRATAPGARH,341639,0,0,0,0,112,943,25445,0,0,93838,0,535,0,104.1012431,0,0,193184,246486,0,352884,447839,25557,104.1012431,0,24,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3146,BAHRAICH,1035660,99971.44493,1,0,0,192,860,36410,67,3,68751,0,2286,0,66.9808681,40,41,271252,337077,0,427007,518806,36602,66.9808681,41,54,96.86,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3147,GONDA,339514,229092.5996,1,0,0,71,963,23539,27,11,49959,0,261,0,61.8550019,25,27,154991,197451,0,326173,409183,23610,61.8550019,20,22,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3150,SULTANPUR,471456,4153214.955,1,0,0,97,809,22819,2,0,64895,0,518,0,83.0642991,2,2,204435,244076,0,338832,404160,22916,83.0642991,2,26,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3157,AZAMGARH,907226,6178383.01,1,0,0,29,1628,30003,2,2,138526,0,804,0,123.5676602,2,2,266373,361115,0,456469,627586,30032,123.5676602,0,23,19.88,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3159,BALLIA,83848,0,0,0,0,43,888,21299,0,0,43034,0,6940,0,29.0588825,0,0,151343,189845,0,307715,370940,21342,29.0588825,0,15,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3163,SONBHADRA,199065,0,0,0,0,53,495,15599,0,0,76719,0,77440,0,18.6384162,0,0,163421,255203,0,274392,413678,15652,18.6384162,0,43,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3170,KAUSHAMBI,67983,0,0,0,0,2,444,11706,0,0,49074,0,69,0,6.38952,0,0,75870,105776,0,140162,185693,11708,6.38952,0,38,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,274414,0,0,0,0,230,815,23105,0,0,75170,0,439,0,21.9260227,0,0,146618,196533,0,265146,339944,23335,21.9260227,0,24,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3149,AYODHYA,224489,6211.607935,4,1,0,1182,298,20530,2818,672,70192,0,251,0,175.0431116,674,699,127031,178532,0,232065,309327,21712,175.0431116,1155,17,20.59,4.09,100,NA
2025-2026,April,31,UTTAR PRADESH,3153,BASTI,1067638,171800.8836,2,0,0,88,787,27096,110,16,94844,0,46,0,188.980972,40,40,281313,354080,0,408337,507507,27184,188.980972,46,17,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3172,KUSHI NAGAR,290061,9546.776018,4,1,0,253,606,24145,1705,370,66287,25,1791,0,162.7725311,371,396,181795,254685,0,375663,505322,24398,162.7725311,533,12,17.01,1.22,100,NA
2025-2026,April,31,UTTAR PRADESH,3177,CHITRAKOOT,90288,9519.473643,2,0,0,44,269,12855,129,79,57889,0,26,0,12.280121,47,57,79380,131573,0,142452,228162,12899,12.280121,69,55,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,274414,4674.141488,5,0,0,642,684,22839,1331,239,75225,14,439,0,62.2128232,243,272,146816,196804,0,265835,340878,23481,62.2128232,685,24,4.58,38.46,100,NA
2025-2026,April,31,UTTAR PRADESH,3179,MAHOBA,75986,48540.33,8,0,0,22,252,8715,8,0,21485,0,91,0,3.8832264,1,2,44529,80957,0,96113,162397,8737,3.8832264,3,39,100,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3118,ALIGARH,61861,501.577313,5,85,0,55,484,17236,13573,2743,37181,19,199,0,68.0790887,2573,2780,116731,150938,0,196425,247449,17291,68.0790887,5065,20,10.68,10.32,100,NA
2025-2026,April,31,UTTAR PRADESH,3122,ETAH,34539,340.2981207,11,8,0,496,452,12332,32619,4552,20802,18,53,0,111.001844,2843,2936,82739,104350,0,145269,180734,12828,111.001844,16158,10,58.8,54.74,100,NA
2025-2026,April,31,UTTAR PRADESH,3123,MAINPURI,288925,412.4388013,13,5,0,235,276,13896,29356,10082,43160,262,318,0,121.0755345,2213,2332,123415,162242,0,198866,253138,14131,121.0755345,12450,26,53.99,69.95,100,NA
2025-2026,April,31,UTTAR PRADESH,3130,HARDOI,361775,1432.629304,9,17,0,1358,868,35728,16183,5053,105776,0,442,0,231.8424003,1775,1864,234621,315628,0,451598,586203,37086,231.8424003,6069,17,31.37,59.04,100,NA
2025-2026,April,31,UTTAR PRADESH,3146,BAHRAICH,1035660,720.9269734,11,46,0,632,465,36251,31828,6755,68792,9,2288,0,229.4566371,2690,2853,271489,337386,0,428264,520342,36883,229.4566371,14342,54,27.37,44.68,100,NA
2025-2026,April,31,UTTAR PRADESH,3148,BARABANKI,517161,764.1727245,8,6,0,386,710,25949,32336,13337,121266,30,118,0,247.1028922,3784,4107,202979,276608,0,376430,491796,26335,247.1028922,9669,15,31.83,59.46,100,NA
2025-2026,April,31,UTTAR PRADESH,3150,SULTANPUR,471456,1305.037191,11,11,0,510,597,22449,18848,4040,70153,141,573,0,245.9734098,1571,1640,204659,267055,0,341525,444794,22959,245.9734098,10054,26,13.2,33.54,100,NA
2025-2026,April,31,UTTAR PRADESH,3151,SIDDHARTH NAGAR,985471,652.9716296,8,6,0,763,830,22013,29695,8318,79994,0,14,0,193.8999254,3622,3879,256636,340387,0,381250,497013,22776,193.8999254,17059,14,42.69,65.32,100,NA
2025-2026,April,31,UTTAR PRADESH,3156,MAU,292755,927.0251956,10,18,0,1097,270,16373,18714,6378,67988,460,2580,0,173.4834951,1732,1823,140801,187527,0,250065,317886,17470,173.4834951,10262,22,21.24,57.79,100,NA
2025-2026,April,31,UTTAR PRADESH,3162,MIRZAPUR,236706,465.5834417,7,31,0,218,588,22735,13258,4876,95645,183,2412,0,61.7270527,1729,1940,142503,216246,0,273261,393164,22953,61.7270527,6803,37,37.21,64.06,100,NA
2025-2026,April,31,UTTAR PRADESH,3166,HATHRAS,26606,1155.985531,5,4,0,116,342,6315,1629,607,21534,0,51,0,18.8310043,299,333,47492,64738,0,80629,104412,6431,18.8310043,450,4,90.76,91.98,100,NA
2025-2026,April,31,UTTAR PRADESH,3168,KANNAUJ,117926,2221.158277,5,7,0,235,258,12216,2194,717,37913,0,19,0,48.7322126,382,396,88799,113924,0,139456,173502,12451,48.7322126,1379,21,76.42,79.03,100,NA
2025-2026,April,31,UTTAR PRADESH,3169,AURAIYA,141327,718.7130294,10,1,0,157,382,12650,18921,4961,43225,31,355,0,135.9876923,1724,1807,83366,104755,0,139055,168480,12807,135.9876923,7770,16,25.21,26.45,100,NA
2025-2026,April,31,UTTAR PRADESH,3175,BALRAMPUR,336328,586.772314,9,16,0,65,519,21328,10700,2156,41114,225,3304,0,62.7846376,1106,1187,129881,163998,0,183405,225681,21393,62.7846376,5794,20,16.75,30.21,100,NA
2025-2026,April,31,UTTAR PRADESH,3177,CHITRAKOOT,90288,459.9286619,8,9,0,261,226,12647,4626,1914,57898,7,26,0,21.2762999,550,659,79392,131597,0,142585,228374,12908,21.2762999,2293,55,5.57,30.46,100,NA
2025-2026,April,31,UTTAR PRADESH,3180,KASHGANJ,53976,2022.869931,3,6,0,222,296,7825,1439,220,25469,0,87,0,29.1090983,371,402,79035,112138,0,113946,155114,8047,29.1090983,377,9,0.75,0.75,100,NA
2025-2026,April,31,UTTAR PRADESH,3183,SHAMLI,6744,1133.235065,19,5,0,104,128,4224,2000,171,3377,0,52,0,22.6647013,105,183,16452,21188,0,46923,56429,4328,22.6647013,969,10,7.75,8.69,100,NA
2025-2026,April,31,UTTAR PRADESH,3117,BULANDSHAHR,16116,490.0383755,9,1,0,92,885,9887,1896,549,9101,0,38,0,9.2911276,191,194,34939,43548,0,82393,101258,9979,9.2911276,881,7,8.35,16.63,100,NA
2025-2026,April,31,UTTAR PRADESH,3118,ALIGARH,61861,492.8890272,5,85,0,55,486,17233,13518,2743,37181,13,199,0,66.6287387,2563,2769,116731,150938,0,196425,247449,17288,66.6287387,5065,20,10.62,10.26,100,NA
2025-2026,April,31,UTTAR PRADESH,3121,FIROZABAD,273904,5533.590832,4,0,0,452,471,14174,457,236,34149,0,208,0,25.2885101,94,101,107160,132525,0,157443,192151,14626,25.2885101,255,18,4.82,20.14,100,NA
2025-2026,April,31,UTTAR PRADESH,3123,MAINPURI,288925,447.6905869,13,5,0,230,280,13887,26020,9212,43159,7,318,0,116.4890907,1988,2093,123413,162240,0,198822,253066,14117,116.4890907,11433,26,53.95,69.79,100,NA
2025-2026,April,31,UTTAR PRADESH,3124,BUDAUN,205520,680.5671564,7,13,0,191,777,18177,11299,2331,34338,5,158,0,76.897283,1461,1516,132258,170734,0,233955,294916,18368,76.897283,3686,15,31.58,34.63,100,NA
2025-2026,April,31,UTTAR PRADESH,3126,PILIBHIT,96788,1401.389303,7,2,0,724,506,15942,4379,785,38768,71,572,0,61.3668376,565,625,136963,214103,0,244900,359774,16666,61.3668376,1726,17,8.13,21.61,100,NA
2025-2026,April,31,UTTAR PRADESH,3128,KHERI,605295,593.5378661,7,10,0,426,875,28909,19767,5831,136268,176,6411,0,117.32463,2642,2897,247228,365166,0,489808,681012,29335,117.32463,6102,24,40.65,70.38,100,NA
2025-2026,April,31,UTTAR PRADESH,3130,HARDOI,361775,1682.030745,8,11,0,1295,871,35776,13727,4123,105776,0,442,0,230.8923603,1574,1662,234621,315623,0,451507,586033,37071,230.8923603,4822,17,27.87,55.19,100,NA
2025-2026,April,31,UTTAR PRADESH,3135,ETAWAH,56603,2078.890022,5,2,0,116,334,10357,2252,762,35894,7,134,0,46.8166033,392,399,77455,97660,0,137012,165298,10473,46.8166033,567,28,21.1,26.78,100,NA
2025-2026,April,31,UTTAR PRADESH,3138,JALAUN,526681,1157.933118,11,13,0,103,430,22024,7988,3117,82057,0,64,0,92.4956975,721,912,175916,258284,0,226583,326266,22127,92.4956975,3178,33,59.73,53.5,100,NA
2025-2026,April,31,UTTAR PRADESH,3142,BANDA,214974,541.2957639,12,59,0,493,179,16193,11801,2222,45993,0,44,0,63.8783131,947,1073,119576,192548,0,227692,353120,16686,63.8783131,6747,52,8.24,23.04,100,NA
2025-2026,April,31,UTTAR PRADESH,3143,FATEHPUR,277077,4037.209991,6,3,0,566,559,16013,3423,1131,69194,19,120,0,138.193698,495,515,149969,187434,0,264272,321281,16579,138.193698,1335,21,25.3,25.05,100,NA
2025-2026,April,31,UTTAR PRADESH,3149,AYODHYA,224489,837.487064,6,6,0,2029,252,19893,28927,9215,70213,71,251,0,242.259883,4701,4897,127074,178598,0,232195,309490,21922,242.259883,12652,17,34.95,49.15,100,NA
2025-2026,April,31,UTTAR PRADESH,3154,GORAKHPUR,599513,860.0517181,9,8,0,469,820,22992,24946,8456,87190,11,325,0,214.5485016,2591,2711,184256,247709,0,345403,445861,23461,214.5485016,13545,17,21,30.58,100,NA
2025-2026,April,31,UTTAR PRADESH,3155,DEORIA,179947,2206.205817,8,0,0,112,884,18523,4853,938,37682,207,5555,0,107.0671683,556,574,120983,151759,0,222300,275829,18635,107.0671683,2094,12,50.86,57.21,100,NA
2025-2026,April,31,UTTAR PRADESH,3156,MAU,292755,1015.225836,10,16,0,1055,272,16405,16963,5543,67933,445,2578,0,172.2127585,1619,1705,140801,187401,0,250059,317651,17460,172.2127585,9104,22,23.28,63.35,100,NA
2025-2026,April,31,UTTAR PRADESH,3160,GHAZIPUR,395993,1794.284241,11,12,0,1392,1032,24658,3582,716,93577,69,3393,0,64.2712615,306,324,278948,369894,0,456406,590895,26050,64.2712615,2923,18,61.49,61.19,100,NA
2025-2026,April,31,UTTAR PRADESH,3169,AURAIYA,141327,5294.067027,6,0,0,116,387,12674,1749,574,43210,21,355,0,92.5932323,258,279,83338,104701,0,138979,168376,12790,92.5932323,483,16,84.84,17.46,100,NA
2025-2026,April,31,UTTAR PRADESH,3175,BALRAMPUR,336328,844.1014795,8,15,0,58,547,21319,6935,1625,40994,16,3223,0,58.5384376,813,848,129873,163359,0,183386,224827,21377,58.5384376,3607,20,2.45,2.76,100,NA
2025-2026,April,31,UTTAR PRADESH,3177,CHITRAKOOT,90288,500.8545174,8,7,0,240,226,12665,4248,1620,57895,7,26,0,21.2762999,523,632,79389,131593,0,142575,228363,12905,21.2762999,2041,55,6.03,32.94,100,NA
2025-2026,April,31,UTTAR PRADESH,3109,BIJNOR,139821,897.7480654,5,6,0,196,877,19515,7366,3239,111880,14,1023,0,66.1281225,1331,1555,178873,260777,0,266763,370246,19711,66.1281225,2719,12,39.66,19.61,100,NA
2025-2026,April,31,UTTAR PRADESH,3127,SHAHJAHANPUR,241743,3026.080587,2,9,0,398,787,18370,1635,488,66897,1,82,0,49.4764176,570,594,160621,225778,0,338753,441911,18768,49.4764176,743,19,1.04,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3131,UNNAO,131546,959.4258605,6,2,0,410,801,19623,7629,2244,59691,0,283,0,73.1945989,1237,1279,121367,161182,0,268342,343752,20033,73.1945989,2408,23,46.57,29.03,100,NA
2025-2026,April,31,UTTAR PRADESH,3134,FARRUKHABAD,54121,8668.658571,3,0,0,339,522,10324,98,13,21959,0,8,0,8.4952854,32,32,69130,88751,0,112971,139256,10663,8.4952854,77,17,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3139,JHANSI,287805,3624.562554,6,17,0,107,301,16427,2991,960,54890,6,1323,0,108.410666,471,577,103075,164791,0,188878,292781,16534,108.410666,1357,38,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3141,HAMIRPUR,360562,11801,3,0,0,55,298,14071,57,0,40327,0,72,0,6.72657,17,19,112653,181925,0,176481,283038,14126,6.72657,18,40,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3151,SIDDHARTH NAGAR,985471,3261.660775,5,1,0,507,939,22136,4208,1820,79599,0,14,0,137.2506854,773,827,256678,338779,0,381194,494769,22643,137.2506854,2408,14,62.3,20.92,100,NA
2025-2026,April,31,UTTAR PRADESH,3158,JAUNPUR,900276,6153.470015,3,43,0,924,1286,36774,1995,715,140675,0,27,0,122.7617268,581,582,294473,390637,0,478069,630003,37698,122.7617268,1189,35,34.56,0.03,100,NA
2025-2026,April,31,UTTAR PRADESH,3168,KANNAUJ,117926,7184.504306,3,6,0,179,295,12210,641,211,37911,0,19,0,46.0526726,198,202,88787,113902,0,139342,173318,12389,46.0526726,432,20,80.96,0.72,100,NA
2025-2026,April,31,UTTAR PRADESH,3170,KAUSHAMBI,67983,27813.17647,1,0,0,118,352,11615,68,41,49087,0,69,0,18.91296,38,42,75895,105813,0,140336,185909,11733,18.91296,21,38,45.59,7.35,100,NA
2025-2026,April,31,UTTAR PRADESH,3174,SANT KABEER NAGAR,420859,6156.187951,4,20,0,1239,517,18566,1874,459,74395,4,193,0,115.3669622,394,395,177191,222075,0,261583,328134,19805,115.3669622,1137,35,31.52,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3180,KASHGANJ,53976,4384.982099,2,1,0,114,309,7930,624,154,25470,0,87,0,27.3622883,228,249,79038,112138,0,113935,155094,8044,27.3622883,144,9,1.82,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3181,AMETHI,157893,10674.91367,4,3,0,171,498,16517,466,162,54049,0,12,0,49.7450977,115,117,128940,177628,0,229140,299769,16688,49.7450977,175,23,8.15,37.3,100,NA
2025-2026,April,31,UTTAR PRADESH,3183,SHAMLI,6744,9320.243716,9,1,0,85,131,4241,218,0,3377,0,52,0,20.3181313,24,53,16449,21181,0,46891,56386,4326,20.3181313,100,10,29.65,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3184,SAMBHAL,31161,2697.188722,5,3,0,125,543,14965,994,179,35114,0,54,0,26.8100559,175,180,90303,116333,0,148513,186556,15090,26.8100559,440,10,0.88,2.79,100,NA
2025-2026,April,31,UTTAR PRADESH,3123,MAINPURI,288925,35286.59884,1,2,0,151,322,13825,303,65,43140,0,318,0,106.9183945,164,171,123392,162183,0,198720,252846,13976,106.9183945,123,25,8.97,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3132,LUCKNOW,21635,1223.491226,4,0,0,49,402,10738,734,500,47555,4,223,0,8.9804256,150,163,49227,72712,0,130000,193187,10787,8.9804256,172,12,31.43,16.74,100,NA
2025-2026,April,31,UTTAR PRADESH,3137,KANPUR NAGAR,40020,458.080723,6,5,0,232,460,9465,2448,769,32836,28,847,0,11.2138161,400,409,54655,77947,0,117402,155981,9697,11.2138161,1377,18,2.76,13.68,100,NA
2025-2026,April,31,UTTAR PRADESH,3140,LALITPUR,337588,8491.818288,4,0,0,190,335,17559,257,50,54702,37,15081,0,21.823973,60,76,126310,214296,0,187974,306365,17749,21.823973,144,40,6.04,5.9,100,NA
2025-2026,April,31,UTTAR PRADESH,3142,BANDA,214974,30493.33227,2,0,0,422,270,16233,132,31,45991,0,44,0,40.2511986,63,72,119564,192518,0,227481,352760,16655,40.2511986,54,52,3.14,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3144,PRATAPGARH,341639,27891.75347,4,2,0,432,658,25231,1142,469,93951,0,535,0,318.5238246,274,282,193534,246944,0,354136,449421,25663,318.5238246,441,24,75.68,8.58,100,NA
2025-2026,April,31,UTTAR PRADESH,3145,PRAYAGRAJ,227037,1294.652969,4,6,0,176,1271,28579,3530,1678,149548,0,136,0,45.7012498,759,827,218483,316403,0,455369,627373,28755,45.7012498,1176,21,17.06,4.08,100,NA
2025-2026,April,31,UTTAR PRADESH,3146,BAHRAICH,1035660,25230.31821,2,12,0,520,633,36137,725,176,68772,1,2286,0,182.919807,271,298,271345,337217,0,427727,519732,36657,182.919807,417,54,39.33,0.11,100,NA
2025-2026,April,31,UTTAR PRADESH,3150,SULTANPUR,471456,58429.17889,2,1,0,376,658,22531,387,56,68810,0,559,0,226.1209223,133,137,204617,261501,0,340338,433677,22907,226.1209223,226,26,2.56,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3151,SIDDHARTH NAGAR,985471,3270.88383,5,1,0,448,992,22194,4110,1792,79529,0,14,0,134.4333254,753,807,256678,338306,0,381124,494055,22642,134.4333254,2365,14,65.9,21.8,100,NA
2025-2026,April,31,UTTAR PRADESH,3153,BASTI,1067638,132766.8278,2,0,0,262,766,26890,144,34,94844,0,46,0,191.184232,62,63,281305,354086,0,408436,507667,27152,191.184232,64,16,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3154,GORAKHPUR,599513,7031.332591,5,1,0,353,874,22992,2478,733,86936,0,325,0,174.2364216,481,518,184244,247157,0,344966,444167,23345,174.2364216,1112,17,3.11,8.71,100,NA
2025-2026,April,31,UTTAR PRADESH,3156,MAU,292755,8815.875268,3,6,0,610,323,16748,1640,290,67485,82,2554,0,144.5803544,411,431,140779,186051,0,250022,315642,17358,144.5803544,891,22,14.39,1.73,100,NA
2025-2026,April,31,UTTAR PRADESH,3158,JAUNPUR,900276,6387.1916,3,43,0,914,1293,36778,1919,703,140674,0,27,0,122.5702068,568,569,294473,390634,0,477987,629836,37692,122.5702068,1125,35,30.11,0.03,100,NA
2025-2026,April,31,UTTAR PRADESH,3166,HATHRAS,26606,5507.973156,3,0,0,24,369,6415,282,90,21540,0,51,0,15.5324843,79,88,47498,64739,0,80610,104386,6439,15.5324843,32,4,0.3,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3170,KAUSHAMBI,67983,27813.17647,1,0,0,118,352,11613,68,41,49087,0,69,0,18.91296,38,42,75895,105813,0,140332,185904,11731,18.91296,21,38,45.59,7.35,100,NA
2025-2026,April,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,274414,4007.81769,5,0,0,748,683,22806,1567,239,75226,14,439,0,62.8025032,275,304,146817,196807,0,265992,341075,23554,62.8025032,836,24,4.53,33.59,100,NA
2025-2026,April,31,UTTAR PRADESH,3184,SAMBHAL,31161,2697.188722,5,3,0,125,543,14965,994,179,35117,0,54,0,26.8100559,175,180,90314,116346,0,148505,186548,15090,26.8100559,440,10,0.88,2.79,100,NA
2025-2026,April,31,UTTAR PRADESH,3121,FIROZABAD,273904,0,0,0,0,16,554,14573,0,0,34097,0,208,0,2.29416,0,0,107164,132187,0,157150,191105,14589,2.29416,0,18,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3126,PILIBHIT,96788,0,0,0,0,33,701,16682,0,0,38740,0,571,0,4.78977,0,0,136882,213850,0,242972,356613,16715,4.78977,0,18,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3127,SHAHJAHANPUR,241743,1022135.47,1,0,0,40,1024,18700,1,0,66883,0,82,0,10.2213547,1,1,160497,225623,0,337138,439830,18740,10.2213547,1,20,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3129,SITAPUR,429805,0,0,0,0,25,1490,37820,0,0,186339,0,371,0,57.9077765,0,0,319807,466705,0,646704,898910,37845,57.9077765,0,27,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3139,JHANSI,287805,0,0,0,0,0,455,16463,0,0,54730,0,1320,0,16.7074234,0,0,102741,164204,0,188273,291765,16463,16.7074234,0,38,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3147,GONDA,339514,0,0,0,0,46,1047,23558,0,0,49964,0,261,0,37.3350033,0,0,154990,197437,0,326127,409046,23604,37.3350033,0,22,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3149,AYODHYA,224489,0,0,0,0,24,629,20746,0,0,70056,0,250,0,42.8471132,0,0,126749,178141,0,231965,309190,20770,42.8471132,0,17,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3157,AZAMGARH,907226,0,0,0,0,10,1715,30004,0,0,138435,0,803,0,58.2850757,0,0,266220,360850,0,456404,627411,30014,58.2850757,0,23,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3158,JAUNPUR,900276,0,0,0,0,61,1627,37182,0,0,140620,0,27,0,21.2992792,0,0,294483,390446,0,477320,628343,37243,21.2992792,0,35,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3160,GHAZIPUR,395993,0,0,0,0,16,1220,25827,0,0,93481,0,3391,0,6.5145522,0,0,278772,369538,0,454145,587643,25843,6.5145522,0,17,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3162,MIRZAPUR,236706,0,0,0,0,6,767,22898,0,0,95607,0,2410,0,6.5137049,0,0,142456,216154,0,273034,392818,22904,6.5137049,0,37,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3174,SANT KABEER NAGAR,420859,0,0,0,0,18,704,19943,0,0,74270,0,192,0,13.84554,0,0,177074,221786,0,260888,326824,19961,13.84554,0,35,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3176,SHRAVASTI,177462,0,0,0,0,78,365,10013,0,0,29997,0,1048,0,5.631,0,0,74715,107421,0,123399,168323,10091,5.631,0,24,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3120,AGRA,169365,0,0,0,0,9,633,14233,0,0,50115,0,705,0,33.225548,0,0,117078,166366,0,183309,251395,14242,33.225548,0,24,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3127,SHAHJAHANPUR,241743,20089.50063,1,2,0,68,938,18685,111,20,66900,1,82,0,22.2993457,93,100,160549,225695,0,337430,440231,18753,22.2993457,64,20,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3129,SITAPUR,429805,0,0,0,0,1489,1362,36603,0,0,186444,0,371,0,125.628207,0,0,319952,466917,0,647345,899860,38092,125.628207,0,28,100,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3136,KANPUR DEHAT,79181,0,0,0,0,5,581,14311,0,0,44575,0,106,0,11.57982,0,0,77818,106424,0,157849,205036,14316,11.57982,0,23,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3153,BASTI,1067638,11670168.5,1,0,0,36,870,27104,1,1,94815,0,46,0,116.701685,1,1,281183,353904,0,408101,507113,27140,116.701685,1,17,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3154,GORAKHPUR,599513,702350.7662,1,0,0,40,1033,23240,13,6,86431,0,313,0,91.3055996,10,10,184090,246063,0,344446,441757,23280,91.3055996,13,17,0,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3159,BALLIA,83848,515203.6583,1,0,0,63,877,21287,6,0,43039,0,6943,0,30.9122195,4,4,151333,189866,0,307822,371177,21350,30.9122195,1,15,66.67,0,100,NA
2025-2026,April,31,UTTAR PRADESH,3165,BAGHPAT,338,0,0,0,0,0,244,1768,0,0,1520,0,4,0,0,0,0,3520,4581,0,17452,21429,1768,0,0,5,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3174,SANT KABEER NAGAR,420859,0,0,0,0,159,658,19810,0,0,74301,0,192,0,49.642152,0,0,177126,221861,0,261037,327064,19969,49.642152,0,35,0,0,0,NA
2025-2026,April,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,274414,0,0,0,0,388,780,23005,0,0,75183,0,439,0,33.5283927,0,0,146693,196619,0,265190,339995,23393,33.5283927,0,24,0,0,0,NA
